nom,SIREN,COG,type,code_region,code_departement
L'Abergement-Clémenciat,210100012,1001,COM,84,1
L'Abergement-de-Varey,210100020,1002,COM,84,1
Ambérieu-en-Bugey,210100046,1004,COM,84,1
Ambérieux-en-Dombes,210100053,1005,COM,84,1
Ambléon,210100061,1006,COM,84,1
Ambronay,210100079,1007,COM,84,1
Ambutrix,210100087,1008,COM,84,1
Andert-et-Condon,210100095,1009,COM,84,1
Anglefort,210100103,1010,COM,84,1
Apremont,210100111,1011,COM,84,1
Aranc,210100129,1012,COM,84,1
Arandas,210100137,1013,COM,84,1
Arbent,210100145,1014,COM,84,1
Arboys en Bugey,200053668,1015,COM,84,1
Arbigny,210100160,1016,COM,84,1
Argis,210100178,1017,COM,84,1
Armix,210100194,1019,COM,84,1
Ars-sur-Formans,210100210,1021,COM,84,1
Artemare,210100228,1022,COM,84,1
Asnières-sur-Saône,210100236,1023,COM,84,1
Attignat,210100244,1024,COM,84,1
Bâgé-Dommartin,200077220,1025,COM,84,1
Bâgé-le-Châtel,210100269,1026,COM,84,1
Balan,210100277,1027,COM,84,1
Baneins,210100285,1028,COM,84,1
Beaupont,210100293,1029,COM,84,1
Beauregard,210100301,1030,COM,84,1
Bellignat,210100319,1031,COM,84,1
Béligneux,210100327,1032,COM,84,1
Valserhône,200083863,1033,COM,84,1
Belley,210100343,1034,COM,84,1
Belleydoux,210100350,1035,COM,84,1
Valromey-sur-Séran,200086411,1036,COM,84,1
Bénonces,210100376,1037,COM,84,1
Bény,210100384,1038,COM,84,1
Béon,210100392,1039,COM,84,1
Béréziat,210100400,1040,COM,84,1
Bettant,210100418,1041,COM,84,1
Bey,210100426,1042,COM,84,1
Beynost,210100434,1043,COM,84,1
Billiat,210100442,1044,COM,84,1
Birieux,210100459,1045,COM,84,1
Biziat,210100467,1046,COM,84,1
Blyes,210100475,1047,COM,84,1
La Boisse,210100491,1049,COM,84,1
Boissey,210100509,1050,COM,84,1
Bolozon,210100517,1051,COM,84,1
Bouligneux,210100525,1052,COM,84,1
Bourg-en-Bresse,210100533,1053,COM,84,1
Bourg-Saint-Christophe,210100541,1054,COM,84,1
Boyeux-Saint-Jérôme,210100566,1056,COM,84,1
Boz,210100574,1057,COM,84,1
Brégnier-Cordon,210100582,1058,COM,84,1
Brénod,210100608,1060,COM,84,1
Brens,210100616,1061,COM,84,1
Bressolles,210100624,1062,COM,84,1
Brion,210100632,1063,COM,84,1
Briord,210100640,1064,COM,84,1
Buellas,210100657,1065,COM,84,1
La Burbanche,210100665,1066,COM,84,1
Ceignes,210100673,1067,COM,84,1
Cerdon,210100681,1068,COM,84,1
Certines,210100699,1069,COM,84,1
Cessy,210100715,1071,COM,84,1
Ceyzériat,210100723,1072,COM,84,1
Ceyzérieu,210100731,1073,COM,84,1
Chalamont,210100749,1074,COM,84,1
Chaleins,210100756,1075,COM,84,1
