nom,SIREN,type,code_region,code_departement
Bordeaux Métropole,243300316,MET,75,33
Boucle Nord de Seine,200057990,EPT,11,92
Brest Métropole,242900314,MET,53,29
CA Alès Agglomération,200066918,CA,76,30
CA Amiens Métropole,248000531,CA,32,80
CA Annemasse-les Voirons-Agglomération,200011773,CA,84,74
CA Annonay Rhône Agglo,200072015,CA,84,7
CA Arche Agglo,200073096,CA,84,
CA Ardenne Métropole,200041630,CA,44,8
CA Arlysère,200068997,CA,84,73
CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS),243300563,CA,75,33
"CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay",200006682,CA,27,
CA Bergeracoise,200070647,CA,75,24
CA Bourges Plus,241800507,CA,24,18
CA Cannes Pays de Lérins,200039915,CA,93,6
CA Carcassonne Agglo,200035715,CA,76,11
CA Caux Seine Agglo,200010700,CA,28,76
CA Chartres Métropole,200033181,CA,24,28
CA Châteauroux Métropole,243600327,CA,24,36
CA Chauny-Tergnier-La Fère,200071785,CA,32,2
CA CIVIS (Communauté Intercommunale des VIlles Solidaires),249740077,CA,4,974
CA Clisson Sèvre et Maine Agglo,200067635,CA,52,44
CA Cœur d'Essonne Agglomération,200057859,CA,11,91
CA Colmar Agglomération,246800726,CA,44,68
CA Communauté Paris-Saclay,200056232,CA,11,91
CA Concarneau Cornouaille Agglomération,242900769,CA,53,29
CA Coulommiers Pays de Brie,200090504,CA,11,77
CA Creil Sud Oise,200068047,CA,32,60
CA d'Agen,200035459,CA,75,47
CA d'Arles-Crau-Camargue-Montagnette,241300417,CA,93,13
CA d'Épinal,200068757,CA,44,88
CA d'Hénin-Carvin,246200299,CA,32,62
CA de Bar-le-Duc - Sud Meuse,200033025,CA,44,55
CA de Bastia,242000354,CA,94,
"CA de Béthune-Bruay,Artois-Lys Romane",200072460,CA,32,62
CA de Béziers-Méditerranée,243400769,CA,76,34
CA de Blois Agglopolys,200030385,CA,24,41
CA de Cambrai,200068500,CA,32,59
CA de Castres Mazamet,248100430,CA,76,81
CA de Cergy-Pontoise,249500109,CA,11,
CA de Châlons-en-Champagne,200066876,CA,44,51
CA de Chaumont,200068658,CA,44,52
CA de Forbach Porte de France,245700372,CA,44,57
CA de Haguenau,200067874,CA,44,67
CA de l'Albigeois (C2A),248100737,CA,76,81
CA de l'Auxerrois,200067114,CA,27,89
CA de l'Espace Sud de la Martinique,249720053,CA,2,972
CA de l'Ouest Rhodanien,200040566,CA,84,69
CA de la Baie de Somme,200070993,CA,32,80
CA de la Porte du Hainaut,200042190,CA,32,59
