nom,SIREN,type,code_departement,code_region
Bordeaux Métropole,243300316,MET,33,75
Boucle Nord de Seine,200057990,EPT,92,11
Brest Métropole,242900314,MET,29,53
CA Alès Agglomération,200066918,CA,30,76
CA Amiens Métropole,248000531,CA,80,32
CA Annemasse-les Voirons-Agglomération,200011773,CA,74,84
CA Annonay Rhône Agglo,200072015,CA,07,84
CA Arche Agglo,200073096,CA,"07,26",84
CA Ardenne Métropole,200041630,CA,08,44
CA Arlysère,200068997,CA,73,84
CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS),243300563,CA,33,75
"CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay",200006682,CA,"21,71",27
CA Bergeracoise,200070647,CA,24,75
CA Bourges Plus,241800507,CA,18,24
CA Cannes Pays de Lérins,200039915,CA,06,93
CA Cap Excellence,200018653,CA,971,01
CA Carcassonne Agglo,200035715,CA,11,76
CA Caux Seine Agglo,200010700,CA,76,28
CA Chartres Métropole,200033181,CA,28,24
CA Châteauroux Métropole,243600327,CA,36,24
CA Chauny-Tergnier-La Fère,200071785,CA,02,32
CA CIVIS (Communauté Intercommunale des VIlles Solidaires),249740077,CA,974,04
CA Clisson Sèvre et Maine Agglo,200067635,CA,44,52
CA Cœur d'Essonne Agglomération,200057859,CA,91,11
CA Colmar Agglomération,246800726,CA,68,44
CA Communauté Paris-Saclay,200056232,CA,91,11
CA Concarneau Cornouaille Agglomération,242900769,CA,29,53
CA Coulommiers Pays de Brie,200090504,CA,77,11
CA Creil Sud Oise,200068047,CA,60,32
CA d'Agen,200035459,CA,47,75
CA d'Arles-Crau-Camargue-Montagnette,241300417,CA,13,93
CA d'Épinal,200068757,CA,88,44
CA d'Hénin-Carvin,246200299,CA,62,32
CA de Bar-le-Duc - Sud Meuse,200033025,CA,55,44
CA de Bastia,242000354,CA,2B,94
"CA de Béthune-Bruay,Artois-Lys Romane",200072460,CA,62,32
CA de Béziers-Méditerranée,243400769,CA,34,76
CA de Blois Agglopolys,200030385,CA,41,24
CA de Cambrai,200068500,CA,59,32
CA de Castres Mazamet,248100430,CA,81,76
CA de Cergy-Pontoise,249500109,CA,"78,95",11
CA de Châlons-en-Champagne,200066876,CA,51,44
CA de Chaumont,200068658,CA,52,44
CA de Forbach Porte de France,245700372,CA,57,44
CA de Haguenau,200067874,CA,67,44
CA de l'Albigeois (C2A),248100737,CA,81,76
CA de l'Auxerrois,200067114,CA,89,27
CA de l'Espace Sud de la Martinique,249720053,CA,972,02
CA de l'Ouest Rhodanien,200040566,CA,69,84
CA de la Baie de Somme,200070993,CA,80,32
CA de la Porte du Hainaut,200042190,CA,59,32
CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),244400610,CA,"44,56","52,53"
CA de la Provence Verte,200068104,CA,83,93
CA de la Région de Château-Thierry,200072031,CA,02,32
CA de la Région de Compiègne et de la Basse Automne,200067965,CA,60,32
CA de la Région Dieppoise,247600786,CA,76,28
CA de la Région Nazairienne et de l'Estuaire (CARENE),244400644,CA,44,52
CA de la Riviera Française,240600551,CA,06,93
